External ID,Issue Type,Summary,Description,Parent External ID,BA Path
BTH-12,Story,Đối soát phiên gián đoạn để khôi phục phục vụ tại booth,"**Mục tiêu:** Kiểm tra sức khỏe booth và xử lý phiên tiền/in không rõ kết quả ngay tại máy.

**Phạm vi:**
* Ghi nhận kết quả: Tạo quyết định đối soát có audit.
* In lại có kiểm soát: Tạo job mới liên kết job cũ, không sửa job cũ thành chưa in.
* Mở bán lại: Về BTH-03.

**Nghiệm thu:**
* Given không có quyền operator; When mở trang; Then không thấy điều khiển tiền/in lại.
* Given operator xác nhận in lại được phép; When thực hiện; Then tạo job mới có tham chiếu job cũ và lý do.
* Given mất mạng; When xem phiên gián đoạn; Then bằng chứng local vẫn đọc được và audit chưa sync được ghi rõ.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-04, D-05, D-08.
**Phụ thuộc:** SVC-09, SVC-10.
**BA:** docs/ba/screens/bth-12.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-01,docs/ba/screens/bth-12.md
CUS-01,Story,Xác thực người dùng để truy cập đúng tổ chức,"**Mục tiêu:** Vào cổng dịch vụ với đúng tài khoản và tổ chức.

**Phạm vi:**
* Đăng nhập: Vào chọn tổ chức hoặc onboarding.
* Khôi phục: Thông báo trung tính, không tiết lộ tài khoản tồn tại.

**Nghiệm thu:**
* Given thành viên thuộc hai tổ chức; When đăng nhập; Then chỉ thấy hai tổ chức đã được cấp.
* Given lời mời hết hạn; When chấp nhận; Then không tạo membership mới.
* Given tài khoản tenant A; When yêu cầu dữ liệu tenant B; Then server từ chối.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-05.
**Phụ thuộc:** SVC-10.
**BA:** docs/ba/screens/cus-01.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-02,docs/ba/screens/cus-01.md
CUS-02,Story,Thiết lập tổ chức để quản lý hoạt động thương mại,"**Mục tiêu:** Tạo hồ sơ đơn vị mua/thuê phần mềm trước khi đăng ký booth hoặc dịch vụ.

**Phạm vi:**
* Tạo tổ chức: Cấp owner ban đầu, ghi audit.
* Tiếp tục: Mở CUS-07 hoặc CUS-03.

**Nghiệm thu:**
* Given request tạo tổ chức bị gửi lại; When xử lý cùng request ID; Then chỉ một tổ chức được tạo.
* Given chưa chọn múi giờ; When lưu; Then form chỉ rõ trường cần hoàn thành.
* Given thành viên thường; When sửa hồ sơ billing; Then phải có quyền tương ứng.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-05, D-12.
**Phụ thuộc:** SVC-10.
**BA:** docs/ba/screens/cus-02.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-02,docs/ba/screens/cus-02.md
CUS-03,Story,Tổng hợp tình trạng tài khoản để nhận biết việc cần xử lý,"**Mục tiêu:** Nhìn nhanh booth, giấy phép, dịch vụ và vấn đề cần xử lý của tổ chức.

**Phạm vi:**
* Xem booth lỗi: Mở danh sách đã lọc.
* Thêm booth: Mở tải/kích hoạt hoặc mua quyền nếu thiếu.

**Nghiệm thu:**
* Given booth mất mạng; When mở dashboard; Then hiện lần liên lạc cuối và trạng thái chưa cập nhật.
* Given chưa có booth; When vào dashboard; Then thấy hướng dẫn kích hoạt.
* Given bộ đếm truy vấn lỗi; When render; Then không thay lỗi bằng số 0.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-14.
**Phụ thuộc:** SVC-04, SVC-10.
**BA:** docs/ba/screens/cus-03.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-03,docs/ba/screens/cus-03.md
CUS-04,Story,Liệt kê và lọc booth để quản lý theo tổ chức,"**Mục tiêu:** Tìm, nhóm và so sánh các booth thuộc tổ chức.

**Phạm vi:**
* Lọc/tìm: Chỉ lọc trên tenant được phép.
* Thêm booth: Mở CUS-06.

**Nghiệm thu:**
* Given tenant có nhiều booth; When sang trang tiếp; Then dữ liệu được phân trang ổn định.
* Given bộ lọc không khớp; When hiển thị; Then có nút xóa lọc.
* Given người dùng tenant A; When sửa query ID tenant B; Then không nhận danh sách B.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-05, D-14.
**Phụ thuộc:** SVC-04, SVC-10.
**BA:** docs/ba/screens/cus-04.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-03,docs/ba/screens/cus-04.md
CUS-05,Story,Hiển thị chi tiết booth để theo dõi và yêu cầu tác vụ từ xa,"**Mục tiêu:** Xem cấu hình thực tế và yêu cầu thao tác từ xa có theo dõi kết quả.

**Phạm vi:**
* Yêu cầu đồng bộ: Tạo command ID có hạn.
* Đặt lịch cập nhật: Tạo kế hoạch; không báo đã cài ngay.
* Thu hồi/chuyển booth: Yêu cầu xác nhận tác động trước thực hiện.

**Nghiệm thu:**
* Given booth offline; When gửi yêu cầu sync; Then UI hiện queued, không succeeded.
* Given có phiên trả tiền; When đến lịch update; Then booth hoãn đến thời điểm an toàn.
* Given command đã quá hạn; When booth kết nối lại; Then không chạy lệnh đó.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-02, D-13, D-14.
**Phụ thuộc:** SVC-04, SVC-05, SVC-06.
**BA:** docs/ba/screens/cus-05.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-03,docs/ba/screens/cus-05.md
CUS-06,Story,Cung cấp bộ cài và mã kích hoạt để triển khai booth mới,"**Mục tiêu:** Tải đúng bộ cài và cấp quyền cài đặt có thể theo dõi.

**Phạm vi:**
* Tải bộ cài: Tải artifact đúng phiên bản.
* Tạo mã: Cấp code có thời hạn.
* Thu hồi mã chưa dùng: Không ảnh hưởng máy đã kích hoạt ngoài chính sách.

**Nghiệm thu:**
* Given hết seat; When tạo mã dùng để thêm booth; Then hệ thống từ chối hoặc theo chính sách giữ chỗ đã duyệt, không cấp vượt.
* Given release bị thu hồi; When tải; Then không lấy được bộ cài qua link mới.
* Given mã dùng thành công; When xem portal; Then thấy Device ID và thời điểm sử dụng.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-01, D-02, D-13.
**Phụ thuộc:** SVC-01, SVC-02, SVC-06.
**BA:** docs/ba/screens/cus-06.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-02,docs/ba/screens/cus-06.md
CUS-07,Story,So sánh gói sản phẩm để khách chọn đúng quyền sử dụng,"**Mục tiêu:** Hiểu chính xác sản phẩm mua một lần và dịch vụ có phí định kỳ trước khi đặt hàng.

**Phạm vi:**
* Chọn gói: Tạo lựa chọn checkout.
* So sánh quyền: Hiện khác biệt thuê/vĩnh viễn/cloud rõ ràng.

**Nghiệm thu:**
* Given gói vĩnh viễn chỉ gồm desktop; When xem so sánh; Then cloud và cập nhật trả phí được ghi riêng.
* Given quote hết hiệu lực; When tiến hành mua; Then phải xác nhận giá mới.
* Given không có giá sản phẩm hợp lệ; When bấm mua; Then không tạo giao dịch số tiền mặc định.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-01, D-12.
**Phụ thuộc:** SVC-02, SVC-03.
**BA:** docs/ba/screens/cus-07.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-04,docs/ba/screens/cus-07.md
CUS-08,Story,Thanh toán dịch vụ để cấp quyền theo đơn hàng,"**Mục tiêu:** Thanh toán phí phần mềm và dịch vụ với kết quả có thể đối soát.

**Phạm vi:**
* Thanh toán: Tạo một order với idempotency key.
* Kiểm tra trạng thái: Đọc server, không tạo giao dịch mới.

**Nghiệm thu:**
* Given browser trả về success nhưng server chưa xác minh; When render; Then trạng thái vẫn chờ xác nhận.
* Given callback thành công gửi hai lần; When xử lý; Then chỉ một entitlement/order effect được áp dụng.
* Given đã trả tiền nhưng cấp quyền chưa xong; When mở lại; Then thấy cùng order và trạng thái xử lý, không checkout lại.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-01, D-12.
**Phụ thuộc:** SVC-02, SVC-03.
**BA:** docs/ba/screens/cus-08.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-04,docs/ba/screens/cus-08.md
CUS-09,Story,"Quản lý giấy phép để theo dõi seat, thời hạn và gia hạn","**Mục tiêu:** Quản lý quyền desktop, seat, thời hạn thuê và quyền cập nhật một cách tách bạch.

**Phạm vi:**
* Gia hạn/đổi gói: Review quote và hiệu lực trước xác nhận.
* Hủy gia hạn: Hiện ngày tác động và dịch vụ bị ảnh hưởng.
* Chuyển seat: Theo dõi thiết bị cũ/mới và xác nhận.

**Nghiệm thu:**
* Given license vĩnh viễn và cloud đã hết hạn; When hiển thị; Then hai quyền có trạng thái riêng.
* Given hủy gia hạn cuối kỳ; When xác nhận; Then UI nêu ngày hiệu lực và không mô tả là hủy ngay nếu policy không phải vậy.
* Given server đã gia hạn nhưng booth offline; When xem seat; Then hiện chờ booth nhận quyền mới.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-01, D-02, D-03, D-12.
**Phụ thuộc:** SVC-01, SVC-02, SVC-03.
**BA:** docs/ba/screens/cus-09.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-04,docs/ba/screens/cus-09.md
CUS-10,Story,Hiển thị usage và quota để kiểm soát chi phí dịch vụ,"**Mục tiêu:** Theo dõi AI, lưu trữ/giao file và các dịch vụ đã mua, biết giới hạn trước khi phát sinh phí.

**Phạm vi:**
* Mua thêm: Sang checkout có đơn vị và giá rõ.
* Xem chi tiết usage: Liệt kê sự kiện/trạng thái không lộ dữ liệu người khác.

**Nghiệm thu:**
* Given usage event bị replay; When cộng mức sử dụng; Then không bị tính hai lần.
* Given không đồng ý overage; When chạm giới hạn; Then không tự tạo phí vượt mức.
* Given AI job đang chạy; When xem quota; Then phân biệt reserved với đã tiêu thụ nếu mô hình này được chọn.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-01, D-09, D-12.
**Phụ thuộc:** SVC-03, SVC-08.
**BA:** docs/ba/screens/cus-10.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-04,docs/ba/screens/cus-10.md
CUS-11,Story,Tra cứu giao dịch để đối soát phí và tải chứng từ,"**Mục tiêu:** Tra cứu lịch sử phí trả cho FotoAutomat và chứng từ tương ứng.

**Phạm vi:**
* Tải chứng từ: Trả file được bảo vệ.
* Hỗ trợ giao dịch: Tạo yêu cầu gắn đúng order ID.

**Nghiệm thu:**
* Given order thuộc tenant khác; When truy cập URL; Then không thể tải chứng từ.
* Given refund mới yêu cầu; When xem trạng thái; Then không hiển thị đã hoàn tiền.
* Given chứng từ chưa tạo; When mở order; Then UI hiển thị đúng trạng thái chờ.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-12.
**Phụ thuộc:** SVC-03, SVC-10.
**BA:** docs/ba/screens/cus-11.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-04,docs/ba/screens/cus-11.md
CUS-12,Story,Quản lý thư viện màu để tái sử dụng phiên bản đã duyệt,"**Mục tiêu:** Quản lý bản nháp, bản đã duyệt và phiên bản màu đang dùng tại booth.

**Phạm vi:**
* Tạo từ tham khảo: Mở CUS-13.
* Phát hành: Mở CUS-15.

**Nghiệm thu:**
* Given recipe version đang phục vụ; When chỉnh sửa; Then tạo bản mới và không đổi version đang dùng.
* Given booth chưa báo áp dụng; When xem recipe; Then không tính booth đó là đã dùng bản mới.
* Given không có quyền publish; When thao tác; Then không thể phát hành qua UI/API.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-05, D-09.
**Phụ thuộc:** SVC-05, SVC-08.
**BA:** docs/ba/screens/cus-12.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-05,docs/ba/screens/cus-12.md
CUS-13,Story,Tạo và tinh chỉnh màu bằng AI để xuất công thức cho booth,"**Mục tiêu:** Tạo gợi ý màu từ ảnh tham khảo, thử trên ảnh mẫu và duyệt công thức có thể chạy tại booth.

**Phạm vi:**
* Tạo gợi ý AI: Tạo một job có định danh.
* Lưu nháp: Lưu version và provenance.
* Sẵn sàng phát hành: Đánh dấu duyệt, không tự đẩy xuống booth.

**Nghiệm thu:**
* Given bấm tạo AI lặp do timeout; When gửi cùng job request; Then không phát sinh job tính phí trùng.
* Given recipe chứa thành phần renderer local không hỗ trợ; When duyệt; Then bị chặn và nêu thành phần lỗi.
* Given lưu nháp; When chưa publish; Then các booth đang phục vụ không đổi màu.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-09, D-10, D-11.
**Phụ thuộc:** SVC-08, SVC-05.
**BA:** docs/ba/screens/cus-13.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-05,docs/ba/screens/cus-13.md
CUS-14,Story,Thiết kế khung ảnh để tạo bố cục in tương thích,"**Mục tiêu:** Tạo bố cục in tương thích khổ giấy và số ảnh.

**Phạm vi:**
* Tạo/chỉnh khung: Lưu bản nháp.
* Duyệt: Tạo version có thể chọn ở publish.

**Nghiệm thu:**
* Given template vượt vùng in được hỗ trợ; When duyệt; Then bị chặn với lỗi cụ thể.
* Given sửa một khung đã publish; When lưu; Then tạo revision mới.
* Given thiếu artwork đã tham chiếu; When phát hành; Then gói nội dung không được đánh dấu hoàn chỉnh.

**UI/UX:** thể hiện luồng chính, CTA, trạng thái lỗi/offline/quyền tương ứng BA.

**Cần chốt:** D-08, D-09.
**Phụ thuộc:** SVC-05.
**BA:** docs/ba/screens/cus-14.md.
**Trạng thái:** đề xuất, chưa triển khai.",EP-05,docs/ba/screens/cus-14.md
